objid,ra,dec,z,zErr,psfMag_g,psfMag_r,psfMagErr_g,psfMagErr_r
1237662301916627884,256.74021,22.065856,0.032714,1.418838E-5,20.97386,20.339617,0.028349,0.024012
1237662302453368501,256.86302,22.423925,0.502948,1.309651E-4,22.64522,20.873835,0.093192,0.032547
1237662302990172965,257.01688,22.876281,0.360922,6.874523E-5,21.49263,19.571354,0.041175,0.017476
1237659153150837396,257.27149,22.571449,0.319987,6.360723E-5,21.489429,19.721521,0.047647,0.020969
1237662302990172611,257.04457,22.931992,0.143776,2.113169E-5,19.185934,18.063942,0.016875,0.013455
1237662500552180874,257.12476,22.593097,0.506739,1.891733E-4,22.522535,20.89476,0.123726,0.042579
1237662501088920188,257.22797,23.025243,0.349747,7.623906E-5,20.692225,18.963995,0.030859,0.013936
1237662302990173022,257.17891,22.915801,0.346068,7.308058E-5,21.561913,19.859779,0.043911,0.019807
1237662302990173722,257.17014,22.933711,0.56723,1.619329E-4,23.072783,21.363766,0.14111,0.047493
1237659153150771902,257.13291,22.739438,0.345504,7.805406E-5,21.575739,19.82692,0.043333,0.019194
1237662301916496092,256.45976,22.201661,0.049252,2.733873E-5,20.051544,19.057779,0.019592,0.014386
1237662505376219360,256.71436,22.108863,0.208593,4.535532E-5,20.485163,19.070875,0.034286,0.018815
1237662301916496610,256.46721,22.244141,0.030582,6.073796E-6,19.829906,19.524746,0.01764,0.016338
1237662301916496684,256.56277,22.280541,0.086649,3.464073E-5,20.846943,19.831709,0.029295,0.020582
1237662499478503498,256.62617,22.001099,0.059193,1.373719E-5,19.250593,18.403137,0.029365,0.023394
1237662301916627531,256.71019,22.046759,0.181323,3.405729E-5,19.913879,19.033962,0.020582,0.020142
1237662301916496316,256.54591,22.166484,0.103547,2.367626E-5,19.212351,18.231207,0.015367,0.012506
1237662500552049206,256.79266,22.840478,0.196741,3.260825E-5,20.435461,19.378084,0.025888,0.018328
1237662302453301474,256.74764,22.59272,0.079006,1.242939E-5,19.896576,19.05899,0.454343,0.304018
1237662302453302091,256.8716,22.63428,0.207118,6.36162E-5,21.371971,19.905243,0.07315,0.054443
1237662302453236445,256.76346,22.770489,0.199492,3.778414E-5,20.083401,18.867285,0.018542,0.01663
1237662500551983585,256.77822,22.900078,0.059166,7.951423E-6,19.30188,18.693911,0.015811,0.013586
1237662302453235997,256.7117,22.72585,0.388955,1.053511E-4,16.61223,15.624703,0.012097,0.014441
1237662302990106975,256.89848,23.042079,0.136495,1.373215E-5,20.534147,19.705673,0.025323,0.020487
1237662302453105114,256.39834,22.972141,0.124628,1.346208E-5,20.379799,19.785,0.024418,0.022554
1237662302453039183,256.35918,23.168455,0.173495,7.420805E-5,20.707207,19.635088,0.031652,0.018515
1237662500551918005,256.62812,23.025089,0.136155,7.247848E-6,19.544527,18.811205,0.016223,0.012829
1237662302453039734,256.35715,23.106934,0.118368,3.686276E-5,19.723764,18.714647,0.026388,0.015199
1237662302453171075,256.4911,22.872367,0.354294,1.050152E-4,21.894947,20.087194,0.054808,0.022645
1237662301916365304,256.31619,22.51923,0.088317,1.777657E-5,20.232151,19.492147,0.019115,0.017149
1237662500015112704,256.45795,22.629946,0.180043,3.358947E-5,19.814434,18.545555,0.020061,0.015272
1237662302453170924,256.56947,22.790974,0.179136,3.651173E-5,19.880415,18.637077,0.017637,0.015486
1237662500015112851,256.46671,22.721754,0.063272,2.037602E-5,20.412056,19.639647,0.025483,0.01728
1237662475311056160,255.87853,22.635819,0.360181,1.163232E-4,21.930277,20.322126,0.065226,0.026215
1237662475311055354,255.91829,22.690888,0.145638,3.737649E-5,19.661858,18.565128,0.019248,0.014485
1237662301916234251,256.00227,22.694659,0.14561,2.83313E-5,19.802433,18.751909,0.017627,0.013715
1237662475311055294,255.90426,22.724687,0.058492,3.915546E-5,19.746925,18.948986,0.019833,0.015506
1237662301916168639,255.94699,22.856724,0.138199,2.8918E-5,19.885727,18.856585,0.017275,0.016489
1237662301916168437,256.03745,22.796306,0.168354,5.474356E-5,20.354612,19.206118,0.021062,0.017442
1237662500014850255,256.0121,23.087128,0.32654,7.424366E-5,21.063597,19.399755,0.045389,0.018366
1237662302453039977,256.30947,23.065482,0.270345,5.493035E-5,20.787458,19.279764,0.033066,0.016839
1237662475311252672,256.25296,22.284978,0.036929,2.19416E-5,20.983891,20.286686,0.033395,0.026354
1237662475311317058,256.37221,22.268769,0.049588,1.290516E-5,17.545671,16.585592,0.075473,0.061637
1237662475311317543,256.3371,22.179403,0.049386,2.106019E-5,19.16337,18.302032,0.018881,0.016181
1237662475311318148,256.34809,22.223128,0.39678,1.07381E-4,22.031412,20.24712,0.090393,0.02698
1237662301916496507,256.4283,22.25934,0.087946,7.745103E-6,19.325769,19.036417,0.015745,0.01426
1237662499478372627,256.42153,22.174396,0.056516,8.580516E-6,20.075865,19.462996,0.021065,0.019403
1237662475311317340,256.34699,22.308091,0.036524,1.201392E-5,18.029142,17.06361,0.017491,0.015364
1237662301916103219,255.82999,22.912097,0.057586,1.480822E-5,18.290236,17.457664,0.015536,0.010333
1237662475311055624,255.84037,22.673603,0.196336,4.304734E-5,20.878101,19.841084,0.031244,0.020488
1237662301379232421,255.60485,22.622636,0.145808,3.593302E-5,20.060053,19.024334,0.059924,0.062892
