posx/ posy/ cuentas_g/ magnitud_g/ cielo_g/ cuentas_r/ magnitud_r/ cielo_r/ G-R/ 
33	455	0.056	28.126	0.013	0.04	28.486	0.021	-0.36
18	473	0.517	25.716	0.013	1.159	24.84	0.021	0.876
20	384	0.517	25.716	0.013	0.997	25.003	0.021	0.713
37	371	0.592	25.57	0.013	1.659	24.45	0.021	1.12
104	418	0.435	25.904	0.013	1.319	24.699	0.021	1.205
118	461	0.329	26.206	0.013	1.712	24.416	0.021	1.79
138	433	0.122	27.281	0.013	0.543	25.663	0.021	1.618
104	382	0.635	25.494	0.013	2.491	24.009	0.021	1.485
120	406	0.169	26.929	0.013	1.001	24.999	0.021	1.93
145	429	0.576	25.599	0.013	2.421	24.04	0.021	1.559
145	423	0.47	25.82	0.013	1.657	24.452	0.021	1.368
134	410	0.216	26.663	0.013	0.989	25.012	0.021	1.651
131	390	1.196	24.806	0.013	2.593	23.966	0.021	0.84
122	378	0.884	25.134	0.013	3.933	23.513	0.021	1.621
134	375	0.798	25.246	0.013	2.19	24.149	0.021	1.097
155	437	1.194	24.807	0.013	3.913	23.519	0.021	1.288
157	470	0.212	26.682	0.013	1.03	24.968	0.021	1.714
159	397	1.841	24.338	0.013	6.245	23.011	0.021	1.327
160	380	1.063	24.933	0.013	2.937	23.83	0.021	1.103
169	415	3.483	23.645	0.013	8.104	22.728	0.021	0.917
170	403	0.4	25.996	0.013	1.435	24.608	0.021	1.388
177	397	0.282	26.372	0.013	1.392	24.641	0.021	1.731
168	383	0.185	26.832	0.013	0.771	25.282	0.021	1.55
168	374	0.228	26.605	0.013	0.852	25.174	0.021	1.431
154	451	0.021	29.2	0.013	0.233	26.58	0.021	2.62
163	458	0.595	25.565	0.013	2.562	23.979	0.021	1.586
176	444	0.656	25.458	0.013	1.96	24.269	0.021	1.189
163	432	0.162	26.979	0.013	0.27	26.42	0.021	0.559
191	423	2.35	24.072	0.013	7.761	22.775	0.021	1.297
194	394	0.881	25.138	0.013	3.765	23.561	0.021	1.577
180	457	0.792	25.254	0.013	2.831	23.87	0.021	1.384
184	466	0.19	26.801	0.013	0.775	25.276	0.021	1.525
191	377	0.099	27.511	0.013	0.287	26.357	0.021	1.154
204	377	0.095	27.554	0.013	0.191	26.799	0.021	0.755
196	448	0.036	28.618	0.013	0.197	26.764	0.021	1.854
204	429	0.039	28.513	0.013	0.095	27.551	0.021	0.962
215	437	0.489	25.777	0.013	1.419	24.62	0.021	1.157
208	443	0.021	29.178	0.013	0.243	26.538	0.021	2.64
216	461	0.014	29.628	0.013	0.05	28.257	0.021	1.371
219	421	0.133	27.192	0.013	0.694	25.396	0.021	1.796
221	412	0.72	25.356	0.013	2.104	24.192	0.021	1.164
211	401	0.558	25.633	0.013	2.452	24.026	0.021	1.607
249	384	11.018	22.395	0.013	41.979	20.942	0.021	1.453
245	379	2.264	24.113	0.013	6.542	22.961	0.021	1.152
194	369	0.443	25.885	0.013	3.159	23.751	0.021	2.134
247	421	0.205	26.721	0.013	1.237	24.769	0.021	1.952
244	399	0.083	27.708	0.013	0.715	25.364	0.021	2.344
278	471	0.209	26.701	0.013	1.294	24.72	0.021	1.981
313	448	0.169	26.931	0.013	0.66	25.451	0.021	1.48
