posx/ posy/ magnitud_g/ cielo_g/ magnitud_r/ cielo_r/ G-R/ 
194	394	22.32	0.013	20.773	0.021	1.547
180	457	22.594	0.013	21.117	0.021	1.477
184	466	23.033	0.013	21.438	0.021	1.595
191	377	24.745	0.013	23.196	0.021	1.549
204	377	24.557	0.013	22.967	0.021	1.59
196	448	24.119	0.013	22.263	0.021	1.856
204	429	24.642	0.013	23.055	0.021	1.587
215	437	21.552	0.013	20.336	0.021	1.216
208	443	24.582	0.013	22.949	0.021	1.633
216	461	24.79	0.013	24.231	0.021	0.559
219	421	23.621	0.013	22.072	0.021	1.549
221	412	22.168	0.013	20.869	0.021	1.299
211	401	22.575	0.013	21.146	0.021	1.429
249	384	19.85	0.013	18.708	0.021	1.142
245	379	20.891	0.013	19.764	0.021	1.127
194	369	22.708	0.013	21.194	0.021	1.514
247	421	23.327	0.013	21.848	0.021	1.479
244	399	24.092	0.013	22.354	0.021	1.738
278	471	23.33	0.013	22.116	0.021	1.214
313	448	24.428	0.013	23.1	0.021	1.328
303	470	20.169	0.013	19.035	0.021	1.134
287	439	20.446	0.013	19.285	0.021	1.161
317	427	19.538	0.013	18.182	0.021	1.356
339	461	23.168	0.013	21.712	0.021	1.456
328	406	22.87	0.013	21.483	0.021	1.387
323	399	22.915	0.013	21.326	0.021	1.589
333	369	24.239	0.013	22.533	0.021	1.706
305	361	20.213	0.013	18.601	0.021	1.612
245	362	20.401	0.013	19.205	0.021	1.196
282	367	23.53	0.013	21.827	0.021	1.703
185	363	24.452	0.013	22.593	0.021	1.859
203	367	23.048	0.013	21.519	0.021	1.529
163	350	24.326	0.013	22.766	0.021	1.56
223	357	22.469	0.013	21.064	0.021	1.405
351	442	23.755	0.013	22.12	0.021	1.635
358	447	24.526	0.013	22.869	0.021	1.657
365	457	21.118	0.013	19.407	0.021	1.711
356	478	22.313	0.013	20.997	0.021	1.316
363	433	23.349	0.013	21.88	0.021	1.469
375	425	21.956	0.013	20.672	0.021	1.284
348	385	23.345	0.013	21.794	0.021	1.551
377	398	24.372	0.013	22.742	0.021	1.63
403	433	22.058	0.013	20.88	0.021	1.178
391	454	23.854	0.013	22.416	0.021	1.438
374	479	23.912	0.013	22.361	0.021	1.551
418	476	20.663	0.013	19.633	0.021	1.03
428	473	24.525	0.013	22.883	0.021	1.642
436	456	21.015	0.013	20.04	0.021	0.975
428	420	23.931	0.013	22.146	0.021	1.785
455	422	21.635	0.013	20.233	0.021	1.402
491	435	20.737	0.013	18.023	0.021	2.714
460	407	22.018	0.013	20.472	0.021	1.546
464	401	23.447	0.013	21.954	0.021	1.493
478	405	22.936	0.013	21.57	0.021	1.366
435	373	24.305	0.013	22.673	0.021	1.632
401	364	24.609	0.013	22.889	0.021	1.72
381	317	24.154	0.013	22.592	0.021	1.562
381	310	22.292	0.013	20.962	0.021	1.33
469	348	18.351	0.013	17.568	0.021	0.783
479	361	23.96	0.013	22.383	0.021	1.577
465	327	24.213	0.013	22.708	0.021	1.505
425	318	21.939	0.013	20.31	0.021	1.629
451	304	22.591	0.013	21.057	0.021	1.534
450	296	23.003	0.013	21.66	0.021	1.343
403	304	22.908	0.013	21.382	0.021	1.526
400	290	20.577	0.013	19.248	0.021	1.329
406	275	23.092	0.013	21.822	0.021	1.27
413	270	22.455	0.013	20.965	0.021	1.49
464	260	21.132	0.013	19.976	0.021	1.156
493	271	16.876	0.013	16.662	0.021	0.214
288	216	21.517	0.013	20.448	0.021	1.069
244	215	22.989	0.013	20.903	0.021	2.086
270	236	22.662	0.013	21.479	0.021	1.183
249	229	22.682	0.013	21.395	0.021	1.287
311	243	21.592	0.013	20.384	0.021	1.208
354	229	20.496	0.013	19.457	0.021	1.039
336	215	23.059	0.013	21.642	0.021	1.417
338	211	22.599	0.013	21.405	0.021	1.194
323	189	21.464	0.013	20.279	0.021	1.185
340	197	23.055	0.013	21.901	0.021	1.154
290	200	22.726	0.013	21.339	0.021	1.387
278	216	23.755	0.013	22.349	0.021	1.406
372	233	23.101	0.013	21.6	0.021	1.501
360	236	23.433	0.013	21.935	0.021	1.498
