E 20 M AC 68 10 01
E 23 M AC 69 10 02
E 20 F AC 54 10 02
E 21 M AC 70 10 02
E 19 M AC 53 10 03
E 19 M AC 59 10 04
E 19 M AC 73 10 06
E 19 M AC 91 10 07
E 20 M AC 87 10 08
E 20 M AC 79 10 10
E 19 F AC 66 13 12
E 22 M AC 79 13 12
E 21 M AC 70 13 12
E 20 F AC 49 13 13
E 22 M AC 47 13 13
E 21 F AC 61 13 16
E 20 M AC 75 13 17
E 20 M AC 59 13 17
E 23 M DC 80 13 19
E 21 F AC 50 13 20
E 19 F AC 45 13 21
E 18 M DC 69 13 21
E 17 M DC 67 13 22
F 71 M AC 89 13 24
E 21 M DC 80 13 25
E 21 M DC 70 13 25
F 30 M DC 66 13 26
E 20 F DC 55 13 28
E 18 F DC 66 13 29
E 18 F AC 59 13 30
E 19 M AC 66 13 30
E 21 M AC 72 13 34
E 21 M AC 84 13 34
E 20 M DC 82 13 37
E 20 M DC 70 13 37
E 19 M DC 78 13 39
E 17 F AC 64 13 40
E 18 M DC 74 13 40
E 23 F DC 60 13 43
E 25 M DC 80 13 45
E 22 F DC 56 13 46
E 17 F DC 67 13 47
E 17 F DC 57 13 47
E 20 M DC 82 13 49
E 22 F DC 61 13 50
E 20 F DC 57 13 52
E 19 F DC 54 13 53
E 19 F DC 55 13 54
E 19 F DC 57 13 55
E 20 M DC 76 13 55
E 19 M AC 75 13 56
E 21 F DC 44 13 56
E 19 F DC 55 13 57
E 22 M DC 65 13 58
E 19 M DC 70 14 01
E 20 M DC 79 14 01
E 22 M DC 70 14 01
E 23 F DC 58 14 02
E 22 F DC 59 14 02
